"FilePath","Package","Class","Method Name","Return Type","Parameters","Function Body","Throws","Modifiers","Generics"
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\.mvn\wrapper\MavenWrapperDownloader.java","","MavenWrapperDownloader","main","void","String args","{\n        System.out.println(""- Downloader started"");\n        File baseDirectory = new File(args[0]);\n        System.out.println(""- Using base directory: "" + baseDirectory.getAbsolutePath());\n\n        // If the maven-wrapper.properties exists, read it and check if it contains a custom\n        // wrapperUrl parameter.\n        File mavenWrapperPropertyFile = new File(baseDirectory, MAVEN_WRAPPER_PROPERTIES_PATH);\n        String url = DEFAULT_DOWNLOAD_URL;\n        if(mavenWrapperPropertyFile.exists()) {\n            FileInputStream mavenWrapperPropertyFileInputStream = null;\n            try {\n                mavenWrapperPropertyFileInputStream = new FileInputStream(mavenWrapperPropertyFile);\n                Properties mavenWrapperProperties = new Properties();\n                mavenWrapperProperties.load(mavenWrapperPropertyFileInputStream);\n                url = mavenWrapperProperties.getProperty(PROPERTY_NAME_WRAPPER_URL, url);\n            } catch (IOException e) {\n                System.out.println(""- ERROR loading '"" + MAVEN_WRAPPER_PROPERTIES_PATH + ""'"");\n            } finally {\n                try {\n                    if(mavenWrapperPropertyFileInputStream != null) {\n                        mavenWrapperPropertyFileInputStream.close();\n                    }\n                } catch (IOException e) {\n                    // Ignore ...\n                }\n            }\n        }\n        System.out.println(""- Downloading from: "" + url);\n\n        File outputFile = new File(baseDirectory.getAbsolutePath(), MAVEN_WRAPPER_JAR_PATH);\n        if(!outputFile.getParentFile().exists()) {\n            if(!outputFile.getParentFile().mkdirs()) {\n                System.out.println(\n                        ""- ERROR creating output directory '"" + outputFile.getParentFile().getAbsolutePath() + ""'"");\n            }\n        }\n        System.out.println(""- Downloading to: "" + outputFile.getAbsolutePath());\n        try {\n            downloadFileFromURL(url, outputFile);\n            System.out.println(""Done"");\n            System.exit(0);\n        } catch (Throwable e) {\n            System.out.println(""- Error downloading"");\n            e.printStackTrace();\n            System.exit(1);\n        }\n    }","","public static",""
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\.mvn\wrapper\MavenWrapperDownloader.java","","MavenWrapperDownloader","downloadFileFromURL","void","String urlString, File destination","{\n        if (System.getenv(""MVNW_USERNAME"") != null && System.getenv(""MVNW_PASSWORD"") != null) {\n            String username = System.getenv(""MVNW_USERNAME"");\n            char[] password = System.getenv(""MVNW_PASSWORD"").toCharArray();\n            Authenticator.setDefault(new Authenticator() {\n                @Override\n                protected PasswordAuthentication getPasswordAuthentication() {\n                    return new PasswordAuthentication(username, password);\n                }\n            });\n        }\n        URL website = new URL(urlString);\n        ReadableByteChannel rbc;\n        rbc = Channels.newChannel(website.openStream());\n        FileOutputStream fos = new FileOutputStream(destination);\n        fos.getChannel().transferFrom(rbc, 0, Long.MAX_VALUE);\n        fos.close();\n        rbc.close();\n    }","throws Exception","private static",""
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\.mvn\wrapper\MavenWrapperDownloader.java","","MavenWrapperDownloader","getPasswordAuthentication","PasswordAuthentication","","{\n                    return new PasswordAuthentication(username, password);\n                }","","@Override protected",""
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\src\main\java\org\springframework\samples\petclinic\PetClinicApplication.java","","PetClinicApplication","main","void","String[] args","{\n		SpringApplication.run(PetClinicApplication.class, args);\n	}","","public static",""
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\src\main\java\org\springframework\samples\petclinic\config\SwaggerConfig.java","","SwaggerConfig","customOpenAPI","OpenAPI","","{\n        return new OpenAPI()\n            .components(new Components())\n            .info(new Info()\n                .title(""REST Petclinic backend API documentation"")\n                .version(""1.0"")\n                .termsOfService(""https://github.com/spring-petclinic/spring-petclinic-rest/blob/master/terms.txt"")\n                .description(\n                    ""This is the REST API documentation of the Spring Petclinic backend. "" +\n                        ""If authentication is enabled, use admin/admin when calling the APIs"")\n                .license(swaggerLicense())\n                .contact(swaggerContact()));\n    }","","@Bean",""
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\src\main\java\org\springframework\samples\petclinic\config\SwaggerConfig.java","","SwaggerConfig","swaggerContact","Contact","","{\n        Contact petclinicContact = new Contact();\n        petclinicContact.setName(""Vitaliy Fedoriv"");\n        petclinicContact.setEmail(""vitaliy.fedoriv@gmail.com"");\n        petclinicContact.setUrl(""https://github.com/spring-petclinic/spring-petclinic-rest"");\n        return petclinicContact;\n    }","","private",""
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\src\main\java\org\springframework\samples\petclinic\config\SwaggerConfig.java","","SwaggerConfig","swaggerLicense","License","","{\n        License petClinicLicense = new License();\n        petClinicLicense.setName(""Apache 2.0"");\n        petClinicLicense.setUrl(""http://www.apache.org/licenses/LICENSE-2.0"");\n        petClinicLicense.setExtensions(Collections.emptyMap());\n        return petClinicLicense;\n    }","","private",""
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\src\main\java\org\springframework\samples\petclinic\mapper\OwnerMapper.java","","OwnerMapper","toOwnerDto","OwnerDto","Owner owner","","","",""
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\src\main\java\org\springframework\samples\petclinic\mapper\OwnerMapper.java","","OwnerMapper","toOwner","Owner","OwnerDto ownerDto","","","",""
"C:\repos\Hybrid-Code-Gen\javarepoparser\temp\spring-petclinic-rest\src\main\java\org\springframework\samples\petclinic\mapper\OwnerMapper.java","","OwnerMapper","toOwner","Owner","OwnerFieldsDto ownerDto","","","@Mapping(target = ""id"", ignore = true) @Mapping(target = ""pets"", ignore = true)",""
