FilePath,Package,Class,Method Name,Return Type,Parameters,Function Body,Throws,Modifiers,Generics
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\alert\AlertMaker.java,,AlertMaker,showSimpleAlert,void,"String title, String content","{
        Alert alert = new Alert(AlertType.INFORMATION);
        alert.setTitle(title);
        alert.setHeaderText(null);
        alert.setContentText(content);
        styleAlert(alert);
        alert.showAndWait();
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\alert\AlertMaker.java,,AlertMaker,showErrorMessage,void,"String title, String content","{
        Alert alert = new Alert(AlertType.ERROR);
        alert.setTitle(""Error"");
        alert.setHeaderText(title);
        alert.setContentText(content);
        styleAlert(alert);
        alert.showAndWait();
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\alert\AlertMaker.java,,AlertMaker,showErrorMessage,void,Exception ex,"{
        Alert alert = new Alert(AlertType.ERROR);
        alert.setTitle(""Error occured"");
        alert.setHeaderText(""Error Occured"");
        alert.setContentText(ex.getLocalizedMessage());

        StringWriter sw = new StringWriter();
        PrintWriter pw = new PrintWriter(sw);
        ex.printStackTrace(pw);
        String exceptionText = sw.toString();

        Label label = new Label(""The exception stacktrace was:"");

        TextArea textArea = new TextArea(exceptionText);
        textArea.setEditable(false);
        textArea.setWrapText(true);

        textArea.setMaxWidth(Double.MAX_VALUE);
        textArea.setMaxHeight(Double.MAX_VALUE);
        GridPane.setVgrow(textArea, Priority.ALWAYS);
        GridPane.setHgrow(textArea, Priority.ALWAYS);

        GridPane expContent = new GridPane();
        expContent.setMaxWidth(Double.MAX_VALUE);
        expContent.add(label, 0, 0);
        expContent.add(textArea, 0, 1);

        alert.getDialogPane().setExpandableContent(expContent);

        styleAlert(alert);
        alert.showAndWait();
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\alert\AlertMaker.java,,AlertMaker,showErrorMessage,void,"Exception ex, String title, String content","{
        Alert alert = new Alert(AlertType.ERROR);
        alert.setTitle(""Error occured"");
        alert.setHeaderText(title);
        alert.setContentText(content);

        StringWriter sw = new StringWriter();
        PrintWriter pw = new PrintWriter(sw);
        ex.printStackTrace(pw);
        String exceptionText = sw.toString();

        Label label = new Label(""The exception stacktrace was:"");

        TextArea textArea = new TextArea(exceptionText);
        textArea.setEditable(false);
        textArea.setWrapText(true);

        textArea.setMaxWidth(Double.MAX_VALUE);
        textArea.setMaxHeight(Double.MAX_VALUE);
        GridPane.setVgrow(textArea, Priority.ALWAYS);
        GridPane.setHgrow(textArea, Priority.ALWAYS);

        GridPane expContent = new GridPane();
        expContent.setMaxWidth(Double.MAX_VALUE);
        expContent.add(label, 0, 0);
        expContent.add(textArea, 0, 1);

        alert.getDialogPane().setExpandableContent(expContent);
        alert.showAndWait();
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\alert\AlertMaker.java,,AlertMaker,showMaterialDialog,void,"StackPane root, Node nodeToBeBlurred, List<JFXButton> controls, String header, String body","{
        BoxBlur blur = new BoxBlur(3, 3, 3);
        if (controls.isEmpty()) {
            controls.add(new JFXButton(""Okay""));
        }
        JFXDialogLayout dialogLayout = new JFXDialogLayout();
        JFXDialog dialog = new JFXDialog(root, dialogLayout, JFXDialog.DialogTransition.TOP);

        controls.forEach(controlButton -> {
            controlButton.getStyleClass().add(""dialog-button"");
            controlButton.addEventHandler(MouseEvent.MOUSE_CLICKED, (MouseEvent mouseEvent) -> {
                dialog.close();
            });
        });

        dialogLayout.setHeading(new Label(header));
        dialogLayout.setBody(new Label(body));
        dialogLayout.setActions(controls);
        dialog.show();
        dialog.setOnDialogClosed((JFXDialogEvent event1) -> {
            nodeToBeBlurred.setEffect(null);
        });
        nodeToBeBlurred.setEffect(blur);
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\alert\AlertMaker.java,,AlertMaker,showTrayMessage,void,"String title, String message","{
        try {
            SystemTray tray = SystemTray.getSystemTray();
            BufferedImage image = ImageIO.read(AlertMaker.class.getResource(LibraryAssistantUtil.ICON_IMAGE_LOC));
            TrayIcon trayIcon = new TrayIcon(image, ""Library Assistant"");
            trayIcon.setImageAutoSize(true);
            trayIcon.setToolTip(""Library Assistant"");
            tray.add(trayIcon);
            trayIcon.displayMessage(title, message, MessageType.INFO);
            tray.remove(trayIcon);
        } catch (Exception exp) {
            exp.printStackTrace();
        }
    }",,public static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\alert\AlertMaker.java,,AlertMaker,styleAlert,void,Alert alert,"{
        Stage stage = (Stage) alert.getDialogPane().getScene().getWindow();
        LibraryAssistantUtil.setStageIcon(stage);

        DialogPane dialogPane = alert.getDialogPane();
        dialogPane.getStylesheets().add(AlertMaker.class.getResource(""/resources/dark-theme.css"").toExternalForm());
        dialogPane.getStyleClass().add(""custom-alert"");
    }",,private static,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\callback\GenericCallback.java,,GenericCallback,taskCompleted,Object,Object val,,,,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,getId,String,,"{
        return id;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,setId,void,String id,"{
        this.id = id;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,getTitle,String,,"{
        return title;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,setTitle,void,String title,"{
        this.title = title;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,getAuthor,String,,"{
        return author;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,setAuthor,void,String author,"{
        this.author = author;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,getPublisher,String,,"{
        return publisher;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,setPublisher,void,String publisher,"{
        this.publisher = publisher;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,getAvailability,Boolean,,"{
        return isAvail;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\Book.java,,Book,setIsAvail,void,Boolean isAvail,"{
        this.isAvail = isAvail;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\MailServerInfo.java,,MailServerInfo,getMailServer,String,,"{
        return mailServer;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\MailServerInfo.java,,MailServerInfo,getPort,Integer,,"{
        return port;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\MailServerInfo.java,,MailServerInfo,getEmailID,String,,"{
        return emailID;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\MailServerInfo.java,,MailServerInfo,getPassword,String,,"{
        return password;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\MailServerInfo.java,,MailServerInfo,getSslEnabled,Boolean,,"{
        return sslEnabled;
    }",,public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\MailServerInfo.java,,MailServerInfo,toString,String,,"{
        return String.format(""%s:%d @ %s"", mailServer, port, emailID);
    }",,@Override public,
C:\Users\divchauhan\Downloads\Library-Assistant-master\Library-Assistant-master\src\library\assistant\data\model\MailServerInfo.java,,MailServerInfo,validate,boolean,,"{
        boolean flag = mailServer == null || mailServer.isEmpty() || port == null || emailID == null || emailID.isEmpty() || password.isEmpty();
        return !flag;
    }",,public,
