FilePath,Package,Class,Method Name,Return Type,Parameters,Function Body,Throws,Modifiers,Generics
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\Main.java,,Main,main,void,String[] args,"{

        if (args.length == 1 && args[0].equals(""--help"")) {
            System.out.println(""Usage: java -jar PA1.jar"");
            System.out.println(""Usage: java -jar PA1.jar [file]"");
            System.out.println(""Usage: java -jar PA1.jar [rows] [cols]"");
            System.exit(0);
        }

        Game g = null;

        try {
            if (args.length == 0) {
                int rows = 8;
                int cols = 8;

                g = new Game(rows, cols);
            } else if (args.length == 1) {
                try {
                    Deserializer deserializer = new Deserializer(args[0]);
                    g = deserializer.parseGame();
                } catch (FileNotFoundException e) {
                    e.printStackTrace();
                    throw e;
                }
            } else if (args.length == 2) {
                int rows = Integer.parseInt(args[0]);
                int cols = Integer.parseInt(args[1]);

                g = new Game(rows, cols);
            }
        } catch (final Throwable tr) {
            tr.printStackTrace();
            System.err.println(""Unable to create game: "" + tr.getMessage());
            System.exit(1);
        }

        if (g == null) {
            System.err.println(""Unable to create game!"");
            System.exit(1);
        }

        System.out.println(""Enter \"":q\"" to quit the game."");
        System.out.println(""Enter \"":u\"" to undo the last step."");
        System.out.println();

        try (BufferedReader reader = new BufferedReader(new InputStreamReader(System.in))) {
            do {
                g.display();
                System.out.print(""Enter coordinates for pipe (<col#><row#>): "");
                String input = reader.readLine();

                if (Arrays.stream(QUIT_RESPONSES).anyMatch(it -> it.equalsIgnoreCase(input))) {
                    break;
                }
                if (Arrays.stream(UNDO_RESPONSES).anyMatch(it -> it.equalsIgnoreCase(input))) {
                    if (!g.undoStep()) {
                        System.err.println(""No steps to undo!"");
                    }
                    continue;
                }

                char col = Character.toUpperCase(input.charAt(0));
                if (!Character.isAlphabetic(col)) {
                    System.err.println(""Cannot parse column!"");
                    continue;
                }

                String rowStr = input.codePoints()
                        .skip(1)
                        .takeWhile(Character::isDigit)
                        .collect(StringBuilder::new, StringBuilder::appendCodePoint, StringBuilder::append)
                        .toString();
                if (rowStr.isBlank()) {
                    System.err.println(""Cannot parse row!"");
                    continue;
                }
                int row = Integer.parseInt(rowStr);

                if (g.placePipe(row, col)) {
                    g.updateState();
                    if (g.hasWon()) {
                        System.out.println(""You win using "" + g.getNumOfSteps() + "" steps!"");
                        break;
                    } else if (g.hasLost()) {
                        System.out.println(""You lost!"");
                        break;
                    }
                } else {
                    System.err.println(""Cannot place pipe on that location!"");
                }
            } while (true);
        } catch (IOException e) {
            System.err.println(""Cannot read from console!"");
            e.printStackTrace();
            System.exit(1);
        }
    }",,public static,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\CellStack.java,,CellStack,push,void,FillableCell cell,"{
        // TODO
    }",,,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\CellStack.java,,CellStack,pop,FillableCell,,"{
        // TODO
    }",,,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\CellStack.java,,CellStack,getUndoCount,int,,"{
        // TODO
        return 0;
    }",,,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\CellStack.java,,CellStack,display,void,,"{
        System.out.println(""Undo Count: "" + count);
    }",,,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\DelayBar.java,,DelayBar,countdown,void,,"{
        // TODO
    }",,,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\DelayBar.java,,DelayBar,distance,int,,"{
        // TODO
        return 0;
    }",,,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\DelayBar.java,,DelayBar,display,void,,"{
        if (currentValue > 0) {
            System.out.print(""Rounds Countdown: "");
            System.out.print(StringUtils.createPadding(currentValue, '='));
            System.out.print(StringUtils.createPadding(initialValue - currentValue, ' '));
            System.out.print("" "" + currentValue);
            System.out.println();
        } else {
            System.out.println();
        }
    }",,,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\Game.java,,Game,fromString,Game,"int rows, int cols, int delay, String cellsRep, List<Pipe> pipes","{
        Cell[][] cells = Deserializer.parseString(rows, cols, cellsRep);

        return new Game(rows, cols, delay, cells, pipes);
    }",,static,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\Game.java,,Game,placePipe,boolean,"int row, char col","{
        // TODO
    }",,public,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\Game.java,,Game,skipPipe,void,,"{
        // TODO
    }",,public,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\Game.java,,Game,undoStep,boolean,,"{
        // TODO
    }",,public,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\Game.java,,Game,display,void,,"{
        map.display();
        System.out.println();
        pipeQueue.display();
        cellStack.display();
        System.out.println();
        delayBar.display();
    }",,public,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\Game.java,,Game,updateState,void,,"{
        // TODO
    }",,public,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\Game.java,,Game,hasWon,boolean,,"{
        // TODO
        return false;
    }",,public,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\Game.java,,Game,hasLost,boolean,,"{
        // TODO
        return false;
    }",,public,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\Game.java,,Game,getNumOfSteps,int,,"{
        // TODO
        return 0;
    }",,public,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\MapElement.java,,MapElement,toSingleChar,char,,,,,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\PipeQueue.java,,PipeQueue,peek,Pipe,,"{
        // TODO
    }",,,
C:\repos\Hybrid-Code-Gen\javarepoparser\temp\JavaBench\projects\PA19\src\main\java\game\PipeQueue.java,,PipeQueue,consume,void,,"{
        // TODO
    }",,,
